Metric	Class	Class depth	LR	Positive Cases	Positive cases average depth	Positive cases average distance to LR class	Negative Cases	Negative cases average depth	Negative cases average distance to LR class	Metric Value	Hierarchy
Lexically suggest logically define	http://snomed.info/id/75478009	4	poisoning	3330	6.994	2.994	188	6.644	2.644	0.947	Clinical finding
Lexically suggest logically define	http://snomed.info/id/227250008	7	marrow	0	NaN	NaN	356	7.989	1.775	0.000	Substance
Lexically suggest logically define	http://snomed.info/id/62105006	6	compound	0	NaN	NaN	373	6.885	1.153	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255333006	5	conventional	0	NaN	NaN	6086	7.082	2.083	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/86273004	5	biopsy	1708	6.670	1.741	212	7.528	2.651	0.890	Procedure
Lexically suggest logically define	http://snomed.info/id/263851003	5	reaction	0	NaN	NaN	2184	7.873	2.902	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255609007	6	partial	1	7.000	1.000	1035	8.111	2.200	0.001	Qualifier value
Lexically suggest logically define	http://snomed.info/id/264010009	7	gastric	0	NaN	NaN	485	7.600	1.515	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/263767004	7	genital	1	6.000	1.000	373	7.453	1.359	0.003	Qualifier value
Lexically suggest logically define	http://snomed.info/id/1431002	5	fixation	530	6.325	1.396	326	7.255	2.298	0.619	Procedure
Lexically suggest logically define	http://snomed.info/id/259296007	8	phosphate	67	7.493	0.896	352	7.014	1.287	0.160	Substance
Lexically suggest logically define	http://snomed.info/id/34896006	5	incision	847	7.176	2.185	129	6.620	1.636	0.868	Procedure
Lexically suggest logically define	http://snomed.info/id/255396000	5	acquired	2	6.000	1.000	828	7.343	2.372	0.002	Qualifier value
Lexically suggest logically define	http://snomed.info/id/70150004	7	bile	16	6.625	1.000	465	7.501	1.348	0.033	Substance
Lexically suggest logically define	http://snomed.info/id/133936004	5	adult	0	NaN	NaN	373	7.528	2.566	0.000	Social context
Lexically suggest logically define	http://snomed.info/id/3404009	9	bite	403	7.891	1.258	128	7.188	2.000	0.759	Body structure
Lexically suggest logically define	http://snomed.info/id/782161000	3	bite	475	7.726	4.726	56	7.786	4.786	0.895	Event
Lexically suggest logically define	http://snomed.info/id/248152002	5	female	1	6.000	1.000	764	8.151	3.169	0.001	Clinical finding
Lexically suggest logically define	http://snomed.info/id/736206000	6	dehydrogenase	261	5.701	1.272	256	6.707	0.785	0.505	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255575008	8	inguinal	1	9.000	1.000	394	8.571	1.566	0.003	Qualifier value
Lexically suggest logically define	http://snomed.info/id/261122009	6	lower	0	NaN	NaN	2607	8.268	2.378	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/738956005	4	oral	6906	6.535	2.535	626	7.193	3.193	0.917	Qualifier value
Lexically suggest logically define	http://snomed.info/id/260548002	7	oral	1	6.000	1.000	7531	6.590	0.713	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/78014005	7	urine	766	7.080	0.842	290	7.152	1.593	0.725	Substance
Lexically suggest logically define	http://snomed.info/id/55607006	5	problem	70	6.643	1.671	333	7.012	2.090	0.174	Clinical finding
Lexically suggest logically define	http://snomed.info/id/277113001	7	pelvic	0	NaN	NaN	656	7.881	1.360	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/738989005	4	vaginal	131	6.046	2.046	556	7.773	3.773	0.191	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255561001	6	medial	0	NaN	NaN	796	10.588	4.601	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/67922002	6	serum	426	8.420	2.491	356	8.062	2.225	0.545	Substance
Lexically suggest logically define	http://snomed.info/id/59108006	5	injection	838	6.464	1.529	1116	6.961	1.972	0.429	Procedure
Lexically suggest logically define	http://snomed.info/id/261179002	7	thoracic	0	NaN	NaN	1677	8.756	2.119	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/25723000	6	dysplasia	378	7.500	1.542	80	8.213	2.313	0.825	Body structure
Lexically suggest logically define	http://snomed.info/id/52988006	5	lesion	1888	7.048	2.109	184	7.288	2.473	0.911	Body structure
Lexically suggest logically define	http://snomed.info/id/88878007	5	protein	486	8.035	3.043	371	6.987	2.084	0.567	Substance
Lexically suggest logically define	http://snomed.info/id/255711007	6	pattern	9	7.000	1.000	393	7.534	1.840	0.022	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/255765007	5	fluid	0	NaN	NaN	1216	6.619	1.746	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/71388002	2	procedure	1902	6.102	4.102	265	5.774	3.774	0.878	Procedure
Lexically suggest logically define	http://snomed.info/id/50863008	6	plasma	267	8.850	2.910	258	7.574	1.938	0.509	Substance
Lexically suggest logically define	http://snomed.info/id/303231004	7	intracranial	0	NaN	NaN	615	7.420	1.301	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/39972003	7	sodium	27	7.444	1.037	1280	7.125	0.763	0.021	Substance
Lexically suggest logically define	http://snomed.info/id/267038008	3	edema	264	5.955	2.955	89	7.461	4.461	0.748	Clinical finding
Lexically suggest logically define	http://snomed.info/id/79654002	7	edema	287	6.077	1.286	66	7.394	1.030	0.813	Body structure
Lexically suggest logically define	http://snomed.info/id/408099007	7	suture	369	7.076	1.111	159	8.220	1.899	0.699	Physical object
Lexically suggest logically define	http://snomed.info/id/118635009	5	revision	408	6.228	1.262	222	6.410	1.518	0.648	Procedure
Lexically suggest logically define	http://snomed.info/id/2667000	5	absent	111	6.423	1.441	335	7.224	2.284	0.249	Qualifier value
Lexically suggest logically define	http://snomed.info/id/49872002	3	virus	1500	8.564	5.564	1051	8.888	5.888	0.588	Organism
Lexically suggest logically define	http://snomed.info/id/45169001	6	without	0	NaN	NaN	1787	8.119	2.159	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/125666000	7	burn	637	8.564	1.680	204	7.980	1.490	0.757	Clinical finding
Lexically suggest logically define	http://snomed.info/id/900000000000475002	7	time	0	NaN	NaN	376	6.660	1.330	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/410670007	7	time	0	NaN	NaN	376	6.660	1.330	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/118292001	4	removal	1447	6.295	2.295	67	6.537	2.537	0.956	Procedure
Lexically suggest logically define	http://snomed.info/id/739005008	5	powder	476	6.987	1.987	80	6.425	1.425	0.856	Qualifier value
Lexically suggest logically define	http://snomed.info/id/449872003	5	powder	19	6.158	1.158	537	6.933	1.933	0.034	Substance
Lexically suggest logically define	http://snomed.info/id/410618006	7	application	0	NaN	NaN	475	6.568	0.891	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/410619003	5	application	212	6.538	1.566	263	6.601	1.669	0.446	Procedure
Lexically suggest logically define	http://snomed.info/id/42504009	6	containing	0	NaN	NaN	20803	6.678	0.992	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/52501007	7	leukocyte	12	8.000	2.167	385	8.119	1.530	0.030	Body structure
Lexically suggest logically define	http://snomed.info/id/371151008	6	unable	652	9.248	3.261	42	7.905	2.143	0.939	Qualifier value
Lexically suggest logically define	http://snomed.info/id/22253000	6	pain	713	7.149	1.435	184	6.929	1.658	0.795	Clinical finding
Lexically suggest logically define	http://snomed.info/id/260726005	7	part	0	NaN	NaN	1118	9.587	2.952	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/69658003	6	specific	0	NaN	NaN	1305	8.520	2.642	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/258773002	6	milliliter	1619	7.110	1.110	12	6.083	0.750	0.993	Qualifier value
Lexically suggest logically define	http://snomed.info/id/82107009	3	radiation	254	6.126	3.126	215	7.274	4.274	0.542	Physical force
Lexically suggest logically define	http://snomed.info/id/422077001	6	extract	4	7.000	1.000	500	5.896	0.336	0.008	Qualifier value
Lexically suggest logically define	http://snomed.info/id/125671007	8	rupture	381	7.963	0.840	76	7.605	1.184	0.834	Body structure
Lexically suggest logically define	http://snomed.info/id/89780004	5	combined	0	NaN	NaN	536	7.754	2.769	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/74964007	6	other	0	NaN	NaN	443	7.740	1.935	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/75823008	8	discharge	58	6.793	1.655	495	6.865	1.531	0.105	Body structure
Lexically suggest logically define	http://snomed.info/id/41796003	6	anastomosis	57	7.000	1.316	522	7.774	1.885	0.098	Body structure
Lexically suggest logically define	http://snomed.info/id/733024003	5	tube	0	NaN	NaN	1105	7.317	2.396	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/17621005	5	normal	449	7.096	2.189	917	7.008	2.071	0.329	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255204007	5	multiple	0	NaN	NaN	1085	7.976	2.998	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/21594007	5	malignant	0	NaN	NaN	3020	8.731	3.745	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/76797004	5	failure	4	5.500	1.000	537	7.588	2.607	0.007	Clinical finding
Lexically suggest logically define	http://snomed.info/id/410657003	6	type	102	7.039	1.039	2580	7.914	2.087	0.038	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/264164005	7	pulmonary	0	NaN	NaN	1532	8.017	1.739	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/738985004	4	pulmonary	119	5.622	1.622	1413	8.221	4.221	0.078	Qualifier value
Lexically suggest logically define	http://snomed.info/id/40415009	6	proximal	0	NaN	NaN	725	10.026	4.054	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/38000004	6	lymph	5	5.600	0.400	1340	9.001	3.116	0.004	Substance
Lexically suggest logically define	http://snomed.info/id/261064006	8	cervical	0	NaN	NaN	1714	8.312	1.490	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/87708000	5	vitamin	170	7.176	2.200	205	7.102	2.122	0.453	Substance
Lexically suggest logically define	http://snomed.info/id/264042003	7	intervertebral	0	NaN	NaN	538	9.349	2.565	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/706449001	4	valve	37	5.405	1.405	1414	8.571	4.571	0.025	Physical object
Lexically suggest logically define	http://snomed.info/id/7771000	6	left	3493	8.965	3.011	1444	9.016	3.103	0.708	Qualifier value
Lexically suggest logically define	http://snomed.info/id/32088001	5	fifth	0	NaN	NaN	446	10.809	5.814	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/13543005	5	pressure	3	6.000	1.000	986	7.116	2.203	0.003	Clinical finding
Lexically suggest logically define	http://snomed.info/id/84640000	7	nucleus	6	7.000	0.000	401	12.317	5.322	0.015	Body structure
Lexically suggest logically define	http://snomed.info/id/1250004	5	decreased	219	7.822	2.822	297	7.148	2.175	0.424	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255549009	6	anterior	4	7.000	1.000	1990	9.468	3.527	0.002	Qualifier value
Lexically suggest logically define	http://snomed.info/id/738984000	4	parenteral	1614	5.580	1.580	43	7.209	3.209	0.974	Qualifier value
Lexically suggest logically define	http://snomed.info/id/738986003	4	rectal	224	6.147	2.147	217	7.912	3.912	0.508	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255582007	8	rectal	0	NaN	NaN	441	7.007	1.859	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/10828004	5	positive	178	5.904	1.084	557	8.390	3.454	0.242	Qualifier value
Lexically suggest logically define	http://snomed.info/id/246268007	6	position	4	7.000	1.000	460	7.454	1.672	0.009	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/733021006	5	system	0	NaN	NaN	4068	6.481	1.545	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/246333005	6	system	2	7.000	1.000	4066	6.481	1.155	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/103421006	7	grade	2	8.000	1.000	350	8.243	2.191	0.006	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/420528006	4	100	427	7.169	3.169	11	7.182	3.182	0.975	Qualifier value
Lexically suggest logically define	http://snomed.info/id/2603003	6	secondary	0	NaN	NaN	1190	8.396	2.487	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/44132006	7	abscess	797	7.341	0.863	17	7.765	0.882	0.979	Body structure
Lexically suggest logically define	http://snomed.info/id/128477000	5	abscess	556	7.390	2.390	258	7.271	2.341	0.683	Clinical finding
Lexically suggest logically define	http://snomed.info/id/255407002	6	neonatal	317	6.391	0.580	267	7.011	1.213	0.543	Qualifier value
Lexically suggest logically define	http://snomed.info/id/11713004	8	water	54	6.519	1.778	344	7.561	1.637	0.136	Substance
Lexically suggest logically define	http://snomed.info/id/258214002	7	stage	1	8.000	1.000	886	7.801	1.510	0.001	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/260667007	6	graft	319	6.994	1.226	879	7.328	1.501	0.266	Substance
Lexically suggest logically define	http://snomed.info/id/397165007	4	stain	511	6.321	2.321	87	6.494	2.494	0.855	Substance
Lexically suggest logically define	http://snomed.info/id/255511005	5	long	0	NaN	NaN	360	8.308	3.331	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/26216008	5	central	0	NaN	NaN	817	8.040	3.084	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/732775002	4	500	440	7.245	3.245	2	10.000	6.000	0.995	Qualifier value
Lexically suggest logically define	http://snomed.info/id/87642003	7	dislocation	901	7.982	1.424	27	7.407	0.852	0.971	Body structure
Lexically suggest logically define	http://snomed.info/id/257577001	9	canal	1	10.000	1.000	615	8.572	1.644	0.002	Environment or geographical location
Lexically suggest logically define	http://snomed.info/id/373068000	4	undetermined	0	NaN	NaN	1018	7.178	3.180	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/367643001	7	cyst	809	6.841	1.002	87	7.483	1.333	0.903	Body structure
Lexically suggest logically define	http://snomed.info/id/441457006	4	cyst	494	6.646	2.646	402	7.226	3.231	0.551	Clinical finding
Lexically suggest logically define	http://snomed.info/id/255216001	5	first	0	NaN	NaN	788	9.449	4.475	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/767525000	5	unit	26	6.923	2.154	771	6.267	1.384	0.033	Qualifier value
Lexically suggest logically define	http://snomed.info/id/75540009	5	high	4	6.000	1.000	623	7.448	2.515	0.006	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255619001	6	total	1	7.000	1.000	911	7.506	1.798	0.001	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255260001	7	following	0	NaN	NaN	606	6.690	1.139	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/257556004	4	surgery	0	NaN	NaN	501	6.918	2.918	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/35359004	3	family	31	6.323	3.323	2252	7.927	4.927	0.014	Social context
Lexically suggest logically define	http://snomed.info/id/264193005	7	segment	11	8.182	1.364	586	10.555	3.770	0.018	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255554000	6	dorsal	2	7.000	1.000	471	10.902	4.928	0.004	Qualifier value
Lexically suggest logically define	http://snomed.info/id/88480006	7	potassium	52	7.000	0.885	363	7.317	0.994	0.125	Substance
Lexically suggest logically define	http://snomed.info/id/410673009	7	region	1	8.000	1.000	1931	8.915	2.220	0.001	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/373266007	4	anesthetic	276	7.007	3.007	87	6.667	2.667	0.760	Substance
Lexically suggest logically define	http://snomed.info/id/263718001	6	complication	0	NaN	NaN	763	7.326	1.544	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/116223007	4	complication	423	6.813	2.813	340	7.971	3.971	0.554	Clinical finding
Lexically suggest logically define	http://snomed.info/id/389109008	3	group	35	6.029	3.029	2621	9.333	6.333	0.013	Social context
Lexically suggest logically define	http://snomed.info/id/246261001	7	group	0	NaN	NaN	2656	9.288	2.628	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/264362003	6	home	12	7.917	1.917	353	7.204	1.714	0.033	Environment or geographical location
Lexically suggest logically define	http://snomed.info/id/361269008	4	intentional	0	NaN	NaN	977	7.167	3.167	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/3723001	7	arthritis	349	7.845	1.189	78	6.231	1.641	0.817	Clinical finding
Lexically suggest logically define	http://snomed.info/id/46053002	6	distal	0	NaN	NaN	918	9.885	3.915	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255324009	4	movement	126	7.294	3.294	328	6.683	2.683	0.278	Observable entity
Lexically suggest logically define	http://snomed.info/id/795002	6	deep	0	NaN	NaN	703	8.711	2.808	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/56972008	9	lymphocyte	232	9.849	0.987	230	7.065	2.126	0.502	Body structure
Lexically suggest logically define	http://snomed.info/id/263490005	6	status	38	7.658	1.658	747	5.720	1.070	0.048	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/248153007	5	male	1	6.000	1.000	550	8.049	3.075	0.002	Clinical finding
Lexically suggest logically define	http://snomed.info/id/4147007	6	mass	265	7.075	1.453	230	7.148	1.574	0.535	Body structure
Lexically suggest logically define	http://snomed.info/id/224699009	10	study	0	NaN	NaN	424	6.623	3.458	0.000	Environment or geographical location
Lexically suggest logically define	http://snomed.info/id/739008005	5	suspension	286	6.888	1.888	136	6.596	1.669	0.678	Qualifier value
Lexically suggest logically define	http://snomed.info/id/37595005	5	suspension	1	6.000	1.000	421	6.796	1.819	0.002	Substance
Lexically suggest logically define	http://snomed.info/id/385286003	5	implant	18	7.389	2.500	586	6.974	2.073	0.030	Qualifier value
Lexically suggest logically define	http://snomed.info/id/732996003	5	implant	13	7.769	2.769	591	6.970	2.071	0.022	Qualifier value
Lexically suggest logically define	http://snomed.info/id/738906000	4	dental	35	5.714	1.714	1046	7.528	3.528	0.032	Qualifier value
Lexically suggest logically define	http://snomed.info/id/8537005	5	solution	0	NaN	NaN	1723	6.910	1.920	0.000	Substance
Lexically suggest logically define	http://snomed.info/id/739006009	5	solution	1195	7.001	2.003	528	6.705	1.735	0.694	Qualifier value
Lexically suggest logically define	http://snomed.info/id/271737000	5	anemia	346	6.711	1.717	31	8.032	3.032	0.918	Clinical finding
Lexically suggest logically define	http://snomed.info/id/738952007	4	ocular	338	5.645	1.645	196	6.969	2.969	0.633	Qualifier value
Lexically suggest logically define	http://snomed.info/id/732993006	5	dressing	0	NaN	NaN	536	7.909	2.927	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/129003000	7	dressing	0	NaN	NaN	536	7.905	1.300	0.000	Observable entity
Lexically suggest logically define	http://snomed.info/id/398827000	5	vaccine	452	7.053	2.071	26	6.115	1.500	0.946	Substance
Lexically suggest logically define	http://snomed.info/id/263887005	7	subcutaneous	0	NaN	NaN	1103	9.384	2.845	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/764295003	5	subcutaneous	21	6.952	1.952	1082	9.433	4.459	0.019	Qualifier value
Lexically suggest logically define	http://snomed.info/id/246464006	3	function	1349	6.282	3.282	424	6.620	3.620	0.761	Observable entity
Lexically suggest logically define	http://snomed.info/id/277064003	6	function	1	7.000	1.000	1772	6.361	0.975	0.001	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/272394005	3	technique	313	4.792	1.792	357	6.866	3.866	0.467	Qualifier value
Lexically suggest logically define	http://snomed.info/id/13924000	8	wound	1297	7.492	1.398	393	7.237	1.237	0.767	Body structure
Lexically suggest logically define	http://snomed.info/id/416462003	4	wound	1048	7.905	3.906	642	6.668	2.678	0.620	Clinical finding
Lexically suggest logically define	http://snomed.info/id/385640009	6	does	576	9.267	3.285	659	9.039	3.121	0.466	Qualifier value
Lexically suggest logically define	http://snomed.info/id/74188005	6	medical	0	NaN	NaN	488	6.660	1.357	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/118630004	6	division	204	7.858	1.936	263	8.091	2.251	0.437	Procedure
Lexically suggest logically define	http://snomed.info/id/81723002	7	amputation	188	8.330	1.521	201	7.328	1.234	0.483	Procedure
Lexically suggest logically define	http://snomed.info/id/278109006	6	mechanism	4	7.000	1.000	415	5.689	1.130	0.010	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/255589003	5	direct	0	NaN	NaN	396	7.417	2.503	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/264217000	6	superior	0	NaN	NaN	910	9.766	3.795	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/263654008	5	abnormal	444	6.450	1.482	887	6.778	1.870	0.334	Qualifier value
Lexically suggest logically define	http://snomed.info/id/108369006	9	neoplasm	3980	8.487	0.976	183	6.667	2.344	0.956	Body structure
Lexically suggest logically define	http://snomed.info/id/246262008	8	score	1	9.000	1.000	940	5.462	2.660	0.001	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/733026001	5	vial	356	7.090	2.090	36	5.222	0.222	0.908	Qualifier value
Lexically suggest logically define	http://snomed.info/id/418560003	5	absence	278	8.097	3.097	76	7.118	2.171	0.785	Body structure
Lexically suggest logically define	http://snomed.info/id/260385009	5	negative	121	5.463	0.727	228	7.053	2.211	0.347	Qualifier value
Lexically suggest logically define	http://snomed.info/id/35933005	10	laceration	765	8.146	2.050	27	7.444	2.556	0.966	Body structure
Lexically suggest logically define	http://snomed.info/id/116154003	5	patient	7	4.286	0.714	1058	6.220	1.405	0.007	Social context
Lexically suggest logically define	http://snomed.info/id/260818008	7	serogroup	0	NaN	NaN	377	10.231	3.284	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/277536004	6	serogroup	8	7.000	1.000	369	10.304	4.325	0.021	Qualifier value
Lexically suggest logically define	http://snomed.info/id/260872001	7	agent	3	8.000	1.000	651	6.115	1.253	0.005	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/2483006	7	cavity	9	7.556	1.000	726	7.792	1.478	0.012	Body structure
Lexically suggest logically define	http://snomed.info/id/255374006	5	visual	0	NaN	NaN	424	7.120	2.219	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/14766002	6	aspiration	528	6.489	0.958	179	6.106	1.056	0.747	Procedure
Lexically suggest logically define	http://snomed.info/id/29179001	6	closed	0	NaN	NaN	1626	8.530	2.625	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/428794004	4	fistula	367	6.790	2.790	482	7.573	3.573	0.432	Clinical finding
Lexically suggest logically define	http://snomed.info/id/118622000	6	fistula	776	7.222	1.448	73	7.342	1.671	0.914	Body structure
Lexically suggest logically define	http://snomed.info/id/429040005	4	ulcer	543	6.945	2.945	221	7.244	3.244	0.711	Clinical finding
Lexically suggest logically define	http://snomed.info/id/56208002	7	ulcer	700	7.013	0.961	64	7.188	1.656	0.916	Body structure
Lexically suggest logically define	http://snomed.info/id/255503000	6	entire	0	NaN	NaN	14678	10.842	4.844	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/103360007	5	complex	0	NaN	NaN	473	8.027	3.049	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/246106000	7	control	5	8.000	1.000	641	6.658	1.621	0.008	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/261183002	6	upper	0	NaN	NaN	2364	8.281	2.396	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/90260006	7	allergen	3	7.000	0.667	615	6.067	1.145	0.005	Substance
Lexically suggest logically define	http://snomed.info/id/277054007	7	allergen	0	NaN	NaN	618	6.071	1.142	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/419473009	4	each	0	NaN	NaN	3672	7.171	3.171	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/53348004	6	accidental	0	NaN	NaN	1491	7.059	1.197	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/30507006	6	into	0	NaN	NaN	1058	6.973	1.424	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/30807003	6	benign	0	NaN	NaN	1125	8.545	2.596	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/115956009	5	release	101	6.337	1.337	6125	7.084	2.086	0.016	Procedure
Lexically suggest logically define	http://snomed.info/id/764771001	5	ring	4	6.500	1.500	525	9.672	4.680	0.008	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255399007	5	congenital	2563	7.565	2.571	109	7.018	2.037	0.959	Qualifier value
Lexically suggest logically define	http://snomed.info/id/257733005	4	activity	49	6.592	2.592	314	6.710	2.729	0.135	Observable entity
Lexically suggest logically define	http://snomed.info/id/72704001	8	fracture	2861	8.514	1.387	131	7.282	1.344	0.956	Body structure
Lexically suggest logically define	http://snomed.info/id/732937005	5	capsule	833	7.110	2.110	479	9.092	4.121	0.635	Qualifier value
Lexically suggest logically define	http://snomed.info/id/385049006	5	capsule	855	7.084	2.084	457	9.236	4.267	0.652	Qualifier value
Lexically suggest logically define	http://snomed.info/id/261051005	7	aortic	0	NaN	NaN	734	8.782	2.180	0.000	Qualifier value
